timestamp,operator,part_id,order_id,reel,DIM 1,DIM 1_result,DIM 2,DIM 2_result,DIM 3,DIM 3_result,DIM 4,DIM 4_result,DIM 5,DIM 5_result,DIM 6,DIM 6_result
2025-11-05T12:57:15,CG,SP-001-25,MO00256002,4,0.3765,OK,7.3125,OK,0.9045,OK,7.328,OK,0.369,OK,16.2705,OK
2025-11-05T14:06:55,CG,SP-001-25,MO00256002,4,0.3745,OK,7.3095,OK,0.909,OK,7.3135,OK,0.3785,OK,16.272,OK
2025-11-05T14:08:13,CG,SP-001-25,MO00256002,4,0.373,OK,7.3085,OK,0.907,OK,7.3145,OK,0.3785,OK,16.267,OK
2025-11-05T14:09:42,CG,SP-001-25,MO00256002,4,0.375,OK,7.307,OK,0.905,OK,7.3135,OK,0.368,OK,16.2725,OK
2025-11-05T14:37:26,CG,SP-001-25,MO00256002,4,0.379,OK,7.3085,OK,0.905,OK,7.302,OK,0.373,OK,16.273,OK
2025-11-05T14:39:28,CG,SP-001-25,MO00256002,4,0.376,OK,7.3055,OK,0.903,OK,7.306,OK,0.376,OK,16.2675,OK
2025-11-05T14:41:06,CG,SP-001-25,MO00256002,4,0.3775,OK,7.3065,OK,0.9035,OK,7.3165,OK,0.3755,OK,16.273,OK
2025-11-05T15:18:53,CG,SP-001-25,MO00256002,4,0.379,OK,7.3145,OK,0.903,OK,7.303,OK,0.3775,OK,16.2755,OK
2025-11-05T15:20:02,CG,SP-001-25,MO00256002,4,0.37,OK,7.308,OK,0.902,OK,7.313,OK,0.3755,OK,16.264,OK
2025-11-05T15:21:19,CG,SP-001-25,MO00256002,4,0.3735,OK,7.3105,OK,0.902,OK,7.304,OK,0.3745,OK,16.2655,OK
2025-11-06T07:53:13,CG,SP-001-25,MO00256002,4,0.3765,OK,7.3,OK,0.9085,OK,7.313,OK,0.373,OK,16.2665,OK
2025-11-06T07:56:30,CG,SP-001-25,MO00256002,4,0.375,OK,7.306,OK,0.904,OK,7.297,LOW,0.38,OK,16.274,OK
2025-11-06T07:57:43,CG,SP-001-25,MO00256002,4,0.3785,OK,7.3105,OK,0.9025,OK,7.3065,OK,0.372,OK,16.276,OK
2025-11-06T08:00:52,CG,SP-001-25,MO00256002,4,0.3725,OK,7.307,OK,0.9025,OK,7.2975,LOW,0.375,OK,16.263,OK
